,B9A064,O00391,O14791,O43866,O95445,P00488,P00734,P00736,P00738,P00739,P00740,P00742,P00746,P00747,P00748,P00751,P01008,P01009,P01011,P01019,P01023,P01024,P01031,P01034,P01042,P01591,P01593,P01599,P01615,P01619,P01700,P01701,P01764,P01766,P01857,P01859,P01860,P01861,P01871,P01876,P01877,P02533,P02647,P02649,P02652,P02654,P02655,P02656,P02671,P02675,P02679,P02741,P02743,P02745,P02746,P02747,P02748,P02749,P02751,P02753,P02760,P02763,P02765,P02766,P02768,P02774,P02775,P02776,P02787,P02788,P02790,P03951,P03952,P04003,P04004,P04070,P04114,P04196,P04217,P04264,P04406,P04433,P05090,P05106,P05154,P05155,P05156,P05452,P05546,P06312,P06396,P06702,P06727,P06733,P07225,P07357,P07358,P07360,P07737,P07996,P08514,P08519,P08603,P08697,P08709,P09871,P0C0L4,P0C0L5,P0DJI8,P0DOY2,P0DOY3,P10643,P10720,P10909,P11142,P11226,P12259,P12814,P13645,P13671,P14618,P15169,P17936,P18065,P18206,P18428,P19652,P19823,P19827,P20851,P22352,P22891,P23142,P23528,P25311,P27169,P27918,P35443,P35527,P35542,P35579,P35858,P35908,P36955,P39039,P43652,P48740,P49747,P49908,P55056,P60709,P61224,P62937,P63104,P67936,P68366,P68871,P69905,P69905,P80748,P81605,Q03591,Q04756,Q06033,Q13103,Q13201,Q13790,Q14520,Q14624,Q5TB80,Q6Q788,Q86UX7,Q92954,Q96IY4,Q96PD5,Q9BXR6,Q9UGM5,Q9UK55,Q9Y490
P61224,0.22382672,0.14741036,0.21698113,0.21774194,0.26180258,0.1603261,0.16692914,0.15905948,0.21445782,0.22554348,0.19709544,0.19681908,0.25,0.13797314,0.16773163,0.15844156,0.2037037,0.21559633,0.21363637,0.20245399,0.09681787,0.087635055,0.08879618,0.27232143,0.16310975,0.27272728,0.19534884,0.21327014,0.2364532,0.20476191,0.2037037,0.2037037,0.23880596,0.25252524,0.21090047,0.21190476,0.18855932,0.21090047,0.18661258,0.20979021,0.20095694,0.20281124,0.25081432,0.23563218,0.2361809,0.2303665,0.2371134,0.23857868,0.13013698,0.1940594,0.2167382,0.2669173,0.25,0.2361111,0.2218543,0.21782178,0.17913043,0.22193211,0.06217198,0.27309236,0.22015916,0.2576923,0.20843673,0.25123152,0.17179903,0.2,0.26020408,0.23350254,0.16073969,0.15833333,0.19135803,0.1693038,0.17364341,0.16993465,0.19354838,0.18987341,0.037475344,0.1632653,0.1871345,0.15007657,0.232493,0.1981982,0.26359832,0.14393939,0.20554273,0.19132149,0.1703204,0.25968993,0.2003891,0.22380953,0.15355329,0.21674877,0.21980676,0.21507761,0.16045845,0.17549668,0.1764706,0.26153848,0.2535211,0.11724724,0.12295869,0.06859383,0.110210694,0.19879518,0.1987705,0.16051136,0.084716655,0.08414425,0.24757281,0.2038835,0.2009804,0.13732395,0.23589744,0.21166307,0.17199391,0.2320819,0.068764046,0.1399776,0.15371901,0.12711865,0.18566176,0.19135803,0.23214285,0.20670392,0.117180616,0.19348268,0.2480315,0.13536201,0.1453552,0.24579124,0.25475284,0.20963855,0.15611814,0.26754385,0.23952095,0.22454308,0.17598344,0.12681913,0.14820592,0.25700936,0.07649159,0.16830066,0.16485226,0.201373,0.21666667,0.16336633,0.16361073,0.14192708,0.19756098,0.2488263,0.22081219,1.0,0.25416666,0.24,0.24734983,0.20806794,0.25112107,0.26244345,0.26244345,0.24479167,0.24615385,0.23098591,0.15512048,0.14571746,0.27125505,0.106590725,0.21944444,0.17565218,0.13219616,0.09787234,0.22051282,0.16519174,0.08291992,0.20852017,0.1618887,0.16925734,0.22693267,0.20177384,0.062155783
P62937,0.24369748,0.14021164,0.19138756,0.20661157,0.2345679,0.14789689,0.16246057,0.14644352,0.20194647,0.21798365,0.18565401,0.18363273,0.22758621,0.12254902,0.14217253,0.1461837,0.19532908,0.19239374,0.19585253,0.17444219,0.08722109,0.08223289,0.08343266,0.2596154,0.14637904,0.24761905,0.22513089,0.23076923,0.2408377,0.21693122,0.2113402,0.2263158,0.23762377,0.24864864,0.1882353,0.1875,0.17307693,0.17857143,0.18295218,0.19058824,0.19036144,0.17,0.21594684,0.20408164,0.23655914,0.2122905,0.21195652,0.2228261,0.121839084,0.17588933,0.19313304,0.25,0.25390625,0.24468085,0.22789116,0.23703703,0.1754386,0.22865014,0.056519985,0.236,0.20744681,0.2614108,0.18481013,0.26395938,0.15559158,0.19456068,0.25128207,0.23463687,0.14668547,0.15512465,0.18736842,0.15615141,0.15230769,0.15447155,0.17886178,0.19181034,0.03439965,0.15469614,0.16966067,0.11746988,0.22404371,0.22051282,0.27272728,0.14213836,0.18483412,0.16078432,0.1641286,0.24680851,0.17125984,0.23350254,0.13197969,0.23655914,0.18764846,0.20842572,0.15463917,0.16053511,0.1611842,0.23481782,0.27860695,0.1037415,0.11111111,0.0622244,0.09967585,0.182,0.17708333,0.14693296,0.077408254,0.076834865,0.26881722,0.21787709,0.23163842,0.12588236,0.2320442,0.18574513,0.1590214,0.2410072,0.0647482,0.12820514,0.13245033,0.12633833,0.18249534,0.18884121,0.21981424,0.21629213,0.10387324,0.17137097,0.2430279,0.12210526,0.12513602,0.25448027,0.24806201,0.19612591,0.14125875,0.26106194,0.20658682,0.22162162,0.1659836,0.118134715,0.12755905,0.25945947,0.0667686,0.1517129,0.13210446,0.1981352,0.25555557,0.15754561,0.14957266,0.14117648,0.19,0.2200957,0.19949494,0.25416666,1.0,0.23928571,0.21799308,0.18818381,0.26213592,0.23923445,0.23923445,0.23232323,0.26553673,0.21325648,0.14069591,0.12765957,0.2037037,0.09934854,0.20648968,0.16782007,0.119914345,0.09161932,0.19181585,0.1532738,0.073205404,0.1954023,0.15753424,0.17391305,0.18248175,0.18543047,0.055883512
P63104,0.22829582,0.1751634,0.24107143,0.23039216,0.25795054,0.17757009,0.19629057,0.18144044,0.23427331,0.24197531,0.222,0.20637898,0.2419825,0.16707022,0.19685039,0.17245817,0.22465208,0.24330357,0.23390558,0.22310758,0.1194332,0.11450839,0.108076006,0.22535211,0.18032786,0.2413793,0.20912547,0.19767442,0.19924812,0.19771864,0.20392157,0.1969697,0.21259843,0.20689656,0.23678161,0.23340961,0.221519,0.22675736,0.22334003,0.23042506,0.2327189,0.22047244,0.28656715,0.2620321,0.22619048,0.18548387,0.2055336,0.21031746,0.1553288,0.21102661,0.22384937,0.23856209,0.24836601,0.22884013,0.2327044,0.20858896,0.205,0.21393035,0.07695407,0.25167784,0.23631841,0.24584718,0.23095238,0.23346303,0.21337579,0.23366337,0.20833333,0.1724138,0.18785311,0.18118949,0.21052632,0.19508448,0.19054878,0.17891374,0.21372549,0.22040816,0.048860647,0.18197879,0.22350675,0.17378497,0.24421594,0.19455253,0.25167784,0.17418547,0.22838138,0.21468927,0.19412725,0.221875,0.21014492,0.21455939,0.1840796,0.21641791,0.2552204,0.22594142,0.18248175,0.1980198,0.19806764,0.24671052,0.20848057,0.13287905,0.14531548,0.08659491,0.13102894,0.21575984,0.22614108,0.18634424,0.102681115,0.102681115,0.21259843,0.21011673,0.21011673,0.15967366,0.19066148,0.23662551,0.19293079,0.24615385,0.08531657,0.16444445,0.18003273,0.15221988,0.22580644,0.21604939,0.23160763,0.235,0.14185639,0.22222222,0.24742268,0.16196448,0.15926327,0.26860842,0.2389937,0.22149123,0.17679559,0.25270757,0.26345608,0.24875621,0.1961165,0.14551084,0.16358025,0.21804512,0.09705284,0.18611987,0.17429838,0.23580787,0.26006192,0.20866774,0.17887324,0.17012987,0.23631841,0.23137255,0.23349057,0.24,0.23928571,1.0,0.28840125,0.21836735,0.23021583,0.23507462,0.23507462,0.2,0.21235521,0.2287234,0.16788322,0.16017316,0.25167784,0.13452189,0.23737374,0.1982906,0.1663113,0.12144887,0.24278846,0.18795888,0.10191083,0.23965141,0.1923077,0.19095477,0.24292453,0.22997947,0.07825403
P67936,0.22950819,0.17716536,0.24229075,0.26165804,0.2551724,0.1888298,0.2173913,0.17655173,0.25565612,0.25124377,0.22560975,0.22156863,0.22727273,0.15922798,0.19085173,0.17889318,0.2309237,0.24731183,0.23362446,0.23030303,0.12542145,0.11831832,0.11124331,0.22794117,0.1849624,0.2241993,0.19330855,0.20149253,0.19029851,0.18726592,0.18846154,0.16728625,0.19245283,0.20754717,0.20175439,0.23006834,0.21656051,0.22222222,0.21259843,0.22222222,0.22048998,0.23228346,0.3084112,0.2932961,0.20769231,0.18326694,0.17624521,0.2055336,0.16063349,0.21899225,0.20892495,0.23659305,0.24350649,0.21661721,0.20520231,0.20496894,0.21680672,0.23057644,0.0811138,0.23355263,0.22222222,0.23778501,0.23244552,0.22463769,0.22798742,0.2368932,0.21755725,0.1835206,0.2,0.19341564,0.21276596,0.17530487,0.18501529,0.19386107,0.21072797,0.21906693,0.051282052,0.19464286,0.21689059,0.16398244,0.23684211,0.19029851,0.25259516,0.16871922,0.22863741,0.19782214,0.2,0.25589225,0.21992481,0.19172932,0.1829574,0.20318726,0.274463,0.23768736,0.19826339,0.20327869,0.21122113,0.247557,0.22962964,0.12805392,0.1487524,0.08765916,0.1385979,0.21161048,0.2296748,0.19460227,0.11022273,0.11022273,0.19202898,0.18181819,0.18503937,0.16491228,0.18656716,0.22020201,0.2096531,0.24382716,0.090704985,0.17497231,0.184514,0.1657867,0.21863799,0.21616162,0.24858756,0.24935065,0.14585152,0.23031496,0.24161074,0.15756951,0.1603467,0.22522523,0.25316456,0.22787611,0.17753121,0.24295774,0.26404494,0.23399015,0.19329388,0.15384616,0.16236722,0.19485295,0.1052364,0.20667727,0.16595136,0.24719101,0.25320512,0.21474358,0.17777778,0.16124837,0.22769953,0.2074074,0.23502304,0.24734983,0.21799308,0.28840125,1.0,0.2231405,0.2267658,0.23255815,0.23255815,0.15769231,0.21705426,0.24010554,0.179941,0.16943522,0.21122113,0.14239483,0.24396783,0.19420783,0.15126051,0.12953737,0.259901,0.19484241,0.10585745,0.23275863,0.19198665,0.18959731,0.24824356,0.23858921,0.081070445
P68366,0.21097046,0.23543689,0.26381463,0.22794117,0.19914347,0.22666667,0.25630254,0.24523507,0.26181817,0.25875485,0.25506756,0.2384,0.23060797,0.22045454,0.24162011,0.22401847,0.25709516,0.25299147,0.24911033,0.26013514,0.16998672,0.16607355,0.1620343,0.17621145,0.22005208,0.17864923,0.14444445,0.1419214,0.14790288,0.15964523,0.15555556,0.14823009,0.14823009,0.15536106,0.22959183,0.2263158,0.23154363,0.23539823,0.24409449,0.24338624,0.24263431,0.23462783,0.22088353,0.24557957,0.14222223,0.13333334,0.14955357,0.13363029,0.2173913,0.23973727,0.25252524,0.21765913,0.21263158,0.23373984,0.2231405,0.23153692,0.2414307,0.23163842,0.12705411,0.20210527,0.2601156,0.21627408,0.24680074,0.17286652,0.24892704,0.25,0.16411379,0.14,0.24390244,0.24045801,0.24917492,0.2445055,0.24666667,0.23669468,0.24429968,0.23322684,0.08057806,0.21107784,0.26461038,0.21845318,0.2523191,0.15555556,0.20469083,0.22235022,0.22905983,0.25375625,0.23809524,0.21321961,0.25878593,0.1513158,0.2298066,0.14699332,0.2444062,0.25510204,0.24242425,0.252994,0.23931624,0.21353066,0.17211328,0.18714403,0.20256646,0.13281628,0.18853103,0.24803768,0.2541806,0.24246396,0.16031836,0.15936255,0.15317287,0.14159292,0.14380531,0.22676991,0.15111111,0.25432527,0.24234354,0.23554604,0.13097899,0.22186837,0.21294963,0.21327968,0.25897035,0.23274478,0.21984436,0.231203,0.19832636,0.25859246,0.21263158,0.21812749,0.21658032,0.2219917,0.21106558,0.25183824,0.23470661,0.19654427,0.243762,0.25095057,0.2292683,0.20923379,0.21745351,0.1611479,0.13982837,0.23472223,0.22298221,0.258348,0.21341464,0.22925457,0.23358586,0.22033899,0.23613596,0.1589404,0.25092936,0.20806794,0.18818381,0.21836735,0.2231405,1.0,0.1812227,0.17333333,0.17333333,0.15350877,0.14757709,0.23175183,0.23746702,0.21785335,0.19271949,0.18591772,0.23854962,0.24773414,0.21188119,0.16552198,0.23818181,0.23203026,0.14147688,0.23636363,0.24852072,0.24602026,0.2513661,0.2374582,0.119905956
P68871,0.25925925,0.13297872,0.18615752,0.20391062,0.24545455,0.13351499,0.14767255,0.13135593,0.20432693,0.21369863,0.17226891,0.17254902,0.24731183,0.11793612,0.14975846,0.13411458,0.17916666,0.1875,0.18244803,0.18404908,0.08412483,0.0733614,0.072109655,0.25862068,0.14285715,0.26595744,0.23033708,0.23033708,0.26035503,0.20994475,0.22413793,0.23595506,0.26857144,0.25714287,0.19756098,0.20243903,0.1764706,0.19664268,0.17610063,0.18095239,0.19012345,0.15513627,0.22711864,0.2205438,0.25,0.25641027,0.25748503,0.23428571,0.11724138,0.1640625,0.1626898,0.24899599,0.22868218,0.23461539,0.22302158,0.20833333,0.15194346,0.19944598,0.052843887,0.2394958,0.18767507,0.24034335,0.20565553,0.2736842,0.15235008,0.17536534,0.27325583,0.23353294,0.14164306,0.14008322,0.17596567,0.14603175,0.14660494,0.14238411,0.16390042,0.16424116,0.030900722,0.13992538,0.1754386,0.12037037,0.20994475,0.2159091,0.25541127,0.13459119,0.18571429,0.16831683,0.15771812,0.2406639,0.16732283,0.23728813,0.12993631,0.24561404,0.1980198,0.19909503,0.14035088,0.15870307,0.15640599,0.24454148,0.24630542,0.09564475,0.10556622,0.05634493,0.08973323,0.164,0.16977225,0.13610315,0.06991404,0.06991404,0.24468085,0.25301206,0.24691358,0.1213192,0.22891566,0.1751663,0.13978495,0.227758,0.059748426,0.12053572,0.12837838,0.10531915,0.15925926,0.18415418,0.22186495,0.19491525,0.097539544,0.17682926,0.22844827,0.10993657,0.11513158,0.22727273,0.23193917,0.20197044,0.12921348,0.24401914,0.2082019,0.21195652,0.16075157,0.107068606,0.10725552,0.25274727,0.062181447,0.16611843,0.12928349,0.20560747,0.22932331,0.14833333,0.14184397,0.12467191,0.19154228,0.25531915,0.1923077,0.25112107,0.26213592,0.23021583,0.2267658,0.1812227,1.0,0.44936708,0.44936708,0.22826087,0.25454545,0.1903409,0.1369863,0.12443946,0.20532319,0.09357201,0.19596542,0.15658364,0.11336898,0.07977208,0.18798956,0.14180207,0.068278804,0.1805869,0.16666667,0.15161839,0.19647355,0.17773019,0.050373867
P69905,0.23790322,0.13618158,0.17560975,0.18836565,0.24454148,0.13722827,0.15286624,0.13464236,0.18554217,0.20661157,0.17052631,0.167002,0.24814814,0.12192118,0.15024233,0.12483745,0.16595745,0.19392523,0.18706697,0.17671518,0.08141112,0.072760075,0.069684334,0.273743,0.13384615,0.24352331,0.23636363,0.25301206,0.22560975,0.20555556,0.20879121,0.21764706,0.23655914,0.24096386,0.19464721,0.18518518,0.16993465,0.19506173,0.17864476,0.18872549,0.1975,0.16182573,0.23076923,0.20783132,0.24050634,0.19411765,0.27450982,0.26751593,0.10714286,0.14859438,0.16129032,0.23868313,0.20300752,0.2159091,0.204947,0.21111111,0.15371025,0.2,0.050443906,0.2274678,0.19178082,0.2360515,0.19525066,0.26344085,0.14845024,0.19126819,0.24855492,0.24539877,0.14102565,0.1368715,0.17948718,0.1433121,0.1388889,0.14617941,0.1590909,0.17773019,0.029798422,0.1452206,0.17171717,0.12135176,0.21186441,0.2159091,0.2764977,0.11235955,0.19660194,0.16996047,0.14940578,0.22978723,0.16403162,0.2311828,0.12882653,0.23121387,0.18673219,0.19419643,0.13382353,0.14117648,0.14983165,0.27433628,0.26229507,0.08780903,0.10258868,0.057843138,0.08847403,0.16633664,0.1814346,0.14161849,0.06708716,0.066475645,0.23369566,0.24175824,0.24175824,0.11216056,0.2327044,0.1637931,0.13777089,0.22556391,0.055730335,0.11744966,0.12941177,0.10695187,0.16356878,0.18494624,0.21967213,0.2035928,0.097711265,0.16768916,0.23684211,0.11473684,0.12363239,0.23826715,0.22779922,0.18965517,0.13295615,0.23076923,0.20766774,0.18997361,0.14644352,0.11007269,0.1107595,0.22346368,0.06020408,0.1514658,0.12636505,0.19385342,0.25896415,0.14545454,0.13739377,0.12402089,0.17424242,0.25903615,0.19329897,0.26244345,0.23923445,0.23507462,0.23255815,0.17333333,0.44936708,1.0,1.0,0.2320442,0.25,0.18786128,0.14006025,0.12345679,0.20703125,0.09364821,0.20408164,0.14690265,0.112660944,0.076868325,0.1904762,0.14032497,0.069552876,0.18119267,0.16123499,0.14160839,0.19095477,0.17802198,0.049980324
P69905,0.23790322,0.13618158,0.17560975,0.18836565,0.24454148,0.13722827,0.15286624,0.13464236,0.18554217,0.20661157,0.17052631,0.167002,0.24814814,0.12192118,0.15024233,0.12483745,0.16595745,0.19392523,0.18706697,0.17671518,0.08141112,0.072760075,0.069684334,0.273743,0.13384615,0.24352331,0.23636363,0.25301206,0.22560975,0.20555556,0.20879121,0.21764706,0.23655914,0.24096386,0.19464721,0.18518518,0.16993465,0.19506173,0.17864476,0.18872549,0.1975,0.16182573,0.23076923,0.20783132,0.24050634,0.19411765,0.27450982,0.26751593,0.10714286,0.14859438,0.16129032,0.23868313,0.20300752,0.2159091,0.204947,0.21111111,0.15371025,0.2,0.050443906,0.2274678,0.19178082,0.2360515,0.19525066,0.26344085,0.14845024,0.19126819,0.24855492,0.24539877,0.14102565,0.1368715,0.17948718,0.1433121,0.1388889,0.14617941,0.1590909,0.17773019,0.029798422,0.1452206,0.17171717,0.12135176,0.21186441,0.2159091,0.2764977,0.11235955,0.19660194,0.16996047,0.14940578,0.22978723,0.16403162,0.2311828,0.12882653,0.23121387,0.18673219,0.19419643,0.13382353,0.14117648,0.14983165,0.27433628,0.26229507,0.08780903,0.10258868,0.057843138,0.08847403,0.16633664,0.1814346,0.14161849,0.06708716,0.066475645,0.23369566,0.24175824,0.24175824,0.11216056,0.2327044,0.1637931,0.13777089,0.22556391,0.055730335,0.11744966,0.12941177,0.10695187,0.16356878,0.18494624,0.21967213,0.2035928,0.097711265,0.16768916,0.23684211,0.11473684,0.12363239,0.23826715,0.22779922,0.18965517,0.13295615,0.23076923,0.20766774,0.18997361,0.14644352,0.11007269,0.1107595,0.22346368,0.06020408,0.1514658,0.12636505,0.19385342,0.25896415,0.14545454,0.13739377,0.12402089,0.17424242,0.25903615,0.19329897,0.26244345,0.23923445,0.23507462,0.23255815,0.17333333,0.44936708,1.0,1.0,0.2320442,0.25,0.18786128,0.14006025,0.12345679,0.20703125,0.09364821,0.20408164,0.14690265,0.112660944,0.076868325,0.1904762,0.14032497,0.069552876,0.18119267,0.16123499,0.14160839,0.19095477,0.17802198,0.049980324
P80748,0.22033899,0.10828877,0.16216215,0.18156424,0.23222749,0.119727895,0.13216561,0.11344538,0.17518248,0.18309858,0.1541756,0.1574642,0.21014492,0.108641975,0.128,0.10663199,0.14957266,0.1591449,0.16235293,0.15240084,0.069877885,0.061298076,0.060642093,0.23529412,0.11728395,0.21910113,0.43307087,0.43076923,0.4469697,0.48062015,0.5691057,0.60330576,0.29710144,0.2857143,0.18316832,0.17676768,0.15777777,0.1775,0.15833333,0.16421568,0.16290727,0.14285715,0.20938627,0.16176471,0.26811594,0.26277372,0.26811594,0.25714287,0.09919262,0.14574899,0.15502183,0.23333333,0.25210086,0.20992367,0.2189781,0.22265625,0.12920354,0.19596542,0.043513294,0.23181818,0.19273743,0.22707424,0.17520216,0.26815644,0.11494253,0.14968815,0.2413793,0.23741007,0.122507125,0.12078652,0.15450644,0.1291866,0.1255814,0.13810316,0.14989734,0.15483871,0.02497809,0.12878788,0.15322581,0.10461538,0.1849711,0.484375,0.24537037,0.11237374,0.1589242,0.13465346,0.12842466,0.24090908,0.14851485,0.43609023,0.10969388,0.2361111,0.15,0.15753424,0.11420205,0.13287905,0.13344595,0.23963134,0.26451612,0.085178874,0.08846154,0.051420175,0.075548336,0.14717741,0.16348195,0.123188406,0.059598856,0.059598856,0.2792208,0.2746479,0.2753623,0.09681228,0.23021583,0.1585903,0.12903225,0.22519083,0.04811151,0.09497207,0.1079258,0.09605123,0.14285715,0.15301724,0.18936877,0.18658893,0.082673706,0.14078675,0.23744293,0.09714889,0.09945355,0.19565217,0.20491803,0.16421568,0.11948791,0.21925133,0.19736843,0.17486338,0.16135882,0.09710744,0.0968254,0.24117647,0.0499745,0.12561983,0.108191654,0.16666667,0.21235521,0.12624584,0.11948791,0.116036505,0.16368286,0.24848485,0.17015707,0.24479167,0.23232323,0.2,0.15769231,0.15350877,0.22826087,0.2320442,0.2320442,1.0,0.26760563,0.19117647,0.1259484,0.099887766,0.186722,0.078175895,0.1921922,0.14946619,0.097849466,0.06619217,0.1861702,0.12724552,0.06325515,0.1550926,0.1366782,0.13275862,0.17571059,0.15317287,0.043290045
P81605,0.22413793,0.113788486,0.1820449,0.19886364,0.24038461,0.11231394,0.13216561,0.115655854,0.16867469,0.18644068,0.1502146,0.14807302,0.23754789,0.10617284,0.121753246,0.11227154,0.14861996,0.16705883,0.15813954,0.15082644,0.06445047,0.05953097,0.060190704,0.28025478,0.114374034,0.22580644,0.26,0.27891156,0.29496402,0.2847222,0.2986111,0.28671327,0.28275862,0.25165564,0.16748768,0.16666667,0.15144767,0.16915423,0.14495799,0.16,0.16243654,0.15966387,0.2064057,0.18266253,0.27941176,0.31092438,0.3,0.27272728,0.089758344,0.1417004,0.15283842,0.23305085,0.23275863,0.21839081,0.19548872,0.21538462,0.13120568,0.18550725,0.039160274,0.2293578,0.15921788,0.2173913,0.18478261,0.25714287,0.12295082,0.14853556,0.2625,0.2733813,0.12875536,0.12236287,0.15170941,0.12082671,0.12363067,0.12479201,0.1399177,0.14718615,0.02366864,0.124060154,0.14516129,0.09707242,0.19411765,0.27972028,0.25490198,0.107731305,0.15365854,0.14455445,0.12711865,0.2246696,0.13663366,0.24832214,0.111253195,0.22666667,0.17293233,0.16551724,0.12573965,0.13287905,0.13827993,0.26442307,0.27152318,0.07692308,0.085412666,0.046078432,0.07293355,0.15492958,0.15319149,0.11884058,0.05730659,0.056733523,0.27586207,0.24305555,0.24305555,0.096584216,0.25503355,0.1459695,0.115384616,0.23715416,0.044514388,0.09742441,0.09863946,0.08742005,0.13721804,0.15151516,0.20860927,0.1969697,0.083774254,0.14403293,0.22169812,0.088607594,0.101528384,0.2014652,0.23529412,0.16748768,0.109375,0.24175824,0.1986755,0.17486338,0.14225054,0.0945946,0.103011094,0.2818792,0.049489796,0.13553719,0.10280374,0.1718377,0.21862349,0.1295681,0.115879826,0.109643325,0.15206185,0.25465837,0.16103896,0.24615385,0.26553673,0.21235521,0.21705426,0.14757709,0.25454545,0.25,0.25,0.26760563,1.0,0.16666667,0.120426826,0.09662921,0.22580644,0.07567128,0.19578314,0.13879004,0.095596135,0.069137566,0.16666667,0.12143928,0.06192171,0.14883721,0.13402061,0.12651646,0.16751269,0.16216215,0.04171586
Q03591,0.224,0.20906802,0.2400835,0.2699115,0.23545706,0.20641026,0.22962964,0.21715818,0.24457593,0.25570777,0.25,0.2477396,0.24932976,0.21096544,0.2208589,0.2094176,0.24482109,0.249501,0.25714287,0.2254025,0.14527027,0.13476446,0.13206425,0.2028169,0.20669578,0.21802326,0.17291066,0.18484849,0.17428571,0.1754386,0.1756374,0.18768328,0.19526628,0.20353982,0.24947146,0.25105485,0.25,0.24380165,0.25,0.24261603,0.23061225,0.23863636,0.2486911,0.2470024,0.16467066,0.15044248,0.16320474,0.15988372,0.1813063,0.24460432,0.25447315,0.25396827,0.26385224,0.25129533,0.24226804,0.22933333,0.2125,0.32762837,0.097826086,0.25414366,0.25223213,0.23733333,0.24675325,0.20402299,0.21641791,0.24953096,0.18604651,0.17014925,0.21721311,0.22572179,0.24568138,0.23413897,0.23625557,0.23647605,0.25478926,0.256167,0.06136314,0.21890548,0.2495379,0.18911175,0.25,0.17971015,0.23255815,0.19853836,0.23517382,0.22862129,0.23100775,0.22865014,0.23333333,0.17919075,0.19306931,0.1871345,0.25541127,0.24652088,0.20108695,0.21943574,0.2173913,0.23433243,0.20943953,0.16398986,0.16619718,0.11393643,0.23782468,0.23327306,0.23880596,0.22175732,0.12450256,0.12450256,0.17971015,0.18731117,0.18674698,0.2020548,0.1627907,0.24809161,0.21884058,0.25316456,0.10738255,0.18230852,0.19309261,0.18762887,0.2361809,0.23970038,0.25,0.24827586,0.15862069,0.25598526,0.23770492,0.19190872,0.1911447,0.2853261,0.25606468,0.24485597,0.20772304,0.21529745,0.26153848,0.25108224,0.24768947,0.18522267,0.19526628,0.18879056,0.10542321,0.21517028,0.18821838,0.2524851,0.24210526,0.22817764,0.21428572,0.19387755,0.24683544,0.18443803,0.2516269,0.23098591,0.21325648,0.2287234,0.24010554,0.23175183,0.1903409,0.18786128,0.18786128,0.19117647,0.16666667,1.0,0.2087447,0.19868995,0.2339833,0.15068494,0.26241136,0.22380953,0.18219896,0.13773717,0.24400872,0.20283689,0.12656467,0.2423077,0.2128637,0.40418118,0.23590814,0.23647295,0.095949665
Q04756,0.17620482,0.254818,0.22853185,0.23,0.15789473,0.25189188,0.31443298,0.26613817,0.2255846,0.21203439,0.289548,0.29836512,0.21153846,0.2832981,0.39398086,0.27027026,0.25099075,0.23170732,0.22328767,0.24742268,0.20907928,0.19815668,0.18922019,0.15349545,0.23181818,0.1370482,0.1263318,0.12613982,0.12937595,0.12652439,0.12613982,0.12937595,0.1231003,0.124242425,0.23152022,0.23314607,0.23862068,0.23268698,0.24598931,0.24157304,0.24016854,0.22384106,0.19822486,0.21807748,0.10518292,0.099236645,0.1107739,0.10670732,0.24530168,0.2571042,0.22280473,0.1764706,0.1882353,0.1904048,0.18639053,0.20447761,0.2575,0.22521247,0.1569096,0.1721557,0.22364673,0.17567568,0.22024624,0.14415781,0.24125452,0.24704337,0.119878605,0.115326256,0.25913242,0.25026852,0.26075268,0.29003784,0.29419035,0.25341615,0.25231177,0.28180575,0.10340314,0.2268804,0.25886992,0.21494253,0.21059972,0.12824428,0.16491754,0.2507772,0.22237569,0.26081258,0.28198758,0.17620482,0.21890548,0.1289833,0.2523268,0.1138088,0.22884881,0.23835616,0.2671156,0.25879398,0.2697201,0.17991005,0.12971343,0.23604466,0.2462752,0.1834687,0.23076923,0.2434128,0.30458972,0.2760234,0.19147758,0.19217877,0.120426826,0.11702128,0.11550152,0.24505928,0.11603054,0.23207301,0.23798883,0.19465081,0.16155867,0.24027917,0.2208589,0.23315118,0.24613403,0.24027778,0.22594753,0.23087819,0.21612903,0.2496749,0.17567568,0.2376973,0.24709302,0.18684603,0.18074074,0.22881356,0.25733635,0.1452345,0.21693908,0.23175965,0.259012,0.24168913,0.2237601,0.12671755,0.16624938,0.26682693,0.22634731,0.24279836,0.1845238,0.24753694,0.27733028,0.26396495,0.23066486,0.13829787,0.21751413,0.15512048,0.14069591,0.16788322,0.179941,0.23746702,0.1369863,0.14006025,0.14006025,0.1259484,0.120426826,0.2087447,1.0,0.25320196,0.16540213,0.22321428,0.21937323,0.33977902,0.24739337,0.19086021,0.22622478,0.2414966,0.18200134,0.22598106,0.25755742,0.23995271,0.23849373,0.23884514,0.15155038
